TITLE H24 Pb4 C4 Br12 N4
CELL
  8.064591  12.083063   8.776007  90.000000  90.000000  90.000000
SYMMETRY NUMBER 1
SYMMETRY LABEL  P1
ATOMS
NAME         X           Y           Z
H            0.508735   0.319270   0.655225
H            0.491265   0.819270   0.344775
H            0.491265   0.680730   0.344775
H            0.508735   0.180730   0.655225
H            0.678272   0.250000   0.595304
H            0.321728   0.750000   0.404696
H            0.524028   0.324365   0.378411
H            0.475972   0.824365   0.621589
H            0.475972   0.675635   0.621589
H            0.524028   0.175635   0.378411
H            0.345869   0.250000   0.443862
H            0.654131   0.750000   0.556138
Pb           0.500000   0.000000   0.000000
Pb           0.500000   0.000000   1.000000
Pb           0.500000   1.000000   0.000000
Pb           0.500000   1.000000   1.000000
Pb           0.000000   0.500000   0.500000
Pb           1.000000   0.500000   0.500000
Pb           0.500000   0.500000   0.000000
Pb           0.500000   0.500000   1.000000
Pb           0.000000   0.000000   0.500000
Pb          -0.000000   1.000000   0.500000
Pb           1.000000   0.000000   0.500000
Pb           1.000000   1.000000   0.500000
C            0.481065   0.250000   0.437748
C            0.518935   0.750000   0.562252
Br           0.466971   0.250000   0.018115
Br           0.966971   0.250000   0.481885
Br           0.533029   0.750000   0.981885
Br           0.033029   0.750000   0.518115
Br           0.795776   0.029360   0.788953
Br           0.295776   0.470640   0.711047
Br           0.204224   0.529360   0.211047
Br           0.704224   0.970640   0.288953
Br           0.204224   0.970640   0.211047
Br           0.704224   0.529360   0.288953
Br           0.795776   0.470640   0.788953
Br           0.295776   0.029360   0.711047
N            0.549135   0.250000   0.596250
N            0.450865   0.750000   0.403750
Br           0.466971   0.250000   1.018115
Br          -0.033029   0.250000   0.481885
Br           0.533029   0.750000  -0.018115
Br           1.033029   0.750000   0.518115
Br           0.795776   1.029360   0.788953
Br           0.704224  -0.029360   0.288953
Br           0.204224  -0.029360   0.211047
Br           0.295776   1.029360   0.711047
EOF
